author,content,description,publishedAt,source/id,source/name,title,url,urlToImage
"David Wallace-Wells, contact@ted.com (TED)","","The climate crisis is too vast and complicated to solve with a silver bullet, says author David Wallace-Wells. What we need is a shift in how we live. Follow along as he lays out some of the dramatic actions we could take to build a livable, prosperous world …","2020-03-13T19:09:40Z","","Ted.com","How we could change the planet's climate future | David Wallace-Wells","https://www.ted.com/talks/david_wallace_wells_how_we_could_change_the_planet_s_climate_future","https://pi.tedcdn.com/r/talkstar-photos.s3.amazonaws.com/uploads/e767b59e-5512-446d-9708-1bc449ef8206/DavidWallace-Wells_2019S-embed.jpg?c=1050%2C550&w=1050"
"Lou Shipley","Teslas recent breakout market performance is proving some of its \\n\\n skeptics wrong.By mid-January, Teslas market capitalization had reached $107 billion, and it surged past the giant German automaker Volkswagen to become the worlds second most valuable auto c… [+5625 chars]","It’s ushering in the age of the software car.","2020-02-28T15:30:55Z","","Hbr.org","How Tesla Sets Itself Apart","https://hbr.org/2020/02/how-tesla-sets-itself-apart","https://hbr.org/resources/images/article_assets/2020/02/hbrtesladesign3.jpg"
"","(Bloomberg) — Diplomacy can fix large-scale harm done to the planet by industrial pollution. \\n\\nThat’s the conclusion of new research published today in the journal Nature showing how skies above the Southern Hemisphere have recovered since a 1987 treaty banne… [+3366 chars]","Southern Skies Benefit from a Rare Climate-Diplomacy Success Financial Post Global efforts on ozone help reverse southern jet stream damage The Guardian International ozone treaty stops changes in Southern Hemisphere winds Phys.org View Full coverage on Googl…","2020-03-25T16:16:00Z","financial-post","Financial Post","Southern Skies Benefit from a Rare Climate-Diplomacy Success - Financial Post","https://business.financialpost.com/pmn/business-pmn/southern-skies-benefit-from-a-rare-climate-diplomacy-success","https://secure.gravatar.com/blavatar/b4ece3189893389a03f063830eacd95c?s=200&ts=1585160729"
"Jordan Davidson","The Great Barrier Reef, a natural wonder that once teemed with life, just experienced a major coral bleaching event, according to scientists who conducted aerial surveys over hundreds of individual reefs, as The Guardian reported. \\n\\nAccording to NBC News, the… [+2942 chars]","Great Barrier Reef Has Third Major Bleaching Event in Five Years EcoWatch Great Barrier Reef Hit By Mass Bleaching, Climate Council Says Bloomberg The Great Barrier Reef likely just experienced its most widespread bleaching event on record CNN View Full cover…","2020-03-25T19:55:00Z","","Ecowatch.com","Great Barrier Reef Has Third Major Bleaching Event in Five Years - EcoWatch","https://www.ecowatch.com/coral-bleaching-great-barrier-reef-2645576557.html","https://assets.rebelmouse.io/eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJpbWFnZSI6Imh0dHBzOi8vYXNzZXRzLnJibC5tcy8yMjg5NzAyNi9vcmlnaW4uanBnIiwiZXhwaXJlc19hdCI6MTYzNDc1MTQ0NX0.z1Q74PB6motdzWt3pB8jAuW08_a8zd0wo3_7bjWaIWE/img.jpg?width=1200&coordinates=0%2C66%2C0%2C67&height=600"
"Joel Achenbach","The cause was complications from a fall, said a son, George Dyson.\\n\\nMr. Dyson, born in England between the world wars, spent most of his professional life as a kind of genius-in-residence at the Institute for Advanced Study in Princeton, overlapping in his ea… [+10716 chars]","Freeman Dyson, a visionary and renaissance physicist, dies at 96 The Washington Post The man behind the sphere, Freeman Dyson, is dead at 96 Ars Technica Freeman Dyson, legendary theoretical physicist, dies at 96 National Geographic Freeman Dyson, famed physi…","2020-02-28T18:48:00Z","the-washington-post","The Washington Post","Freeman Dyson, a visionary and renaissance physicist, dies at 96 - The Washington Post","https://www.washingtonpost.com/local/obituaries/freeman-dyson-a-visionary-and-renaissance-physicist-dies-at-96/2020/02/28/0ba462e0-5a58-11ea-ab68-101ecfec2532_story.html","https://www.washingtonpost.com/resizer/laop_913Jove4TQNiAxhmApyfhA=/1440x0/smart/arc-anglerfish-washpost-prod-washpost.s3.amazonaws.com/public/P2IJR3S2LII6VDX5B6IEXXMAK4.jpg"
"","NASA's new three-dimensional portrait of methane concentrations shows the world's second largest contributor to greenhouse warming, the diversity of sources on the ground, and the behavior of the gas as it moves through the atmosphere. Combining multiple data… [+6898 chars]","New 3D View of Methane Tracks Sources Lab Manager Magazine","2020-03-24T13:41:15Z","","Labmanager.com","New 3D View of Methane Tracks Sources - Lab Manager Magazine","https://www.labmanager.com/news/new-3d-view-of-methane-tracks-sources-22093","https://lmg-labmanager.s3.amazonaws.com/assets/articleNo/22093/aImg/40907/new-3d-view-of-methane-tracks-sources-and-movement-m.jpg"
"Hannah Knowles","Astronomers expect mini-moon sightings to grow far more common as a new, giant telescope going up in Chile starts scanning the sky. Its an exciting prospect for scientists interested in someday sending a spacecraft to study one of the rocks and maybe even bri… [+3816 chars]","Earth’s new ‘mini-moon’ is leaving soon. But it’ll be back. The Washington Post The 9@9: Southtown business owner to rebuild after fire; 'Mini moon' orbiting around Earth KSAT 12 Earth's New Mini-Moon Captured in Color Image Gizmodo Earth’s got a new ‘moon’ –…","2020-02-28T21:45:00Z","the-washington-post","The Washington Post","Earth’s new ‘mini-moon’ is leaving soon. But it’ll be back. - The Washington Post","https://www.washingtonpost.com/science/2020/02/28/mini-moon-2020-cd3/","https://www.washingtonpost.com/resizer/6i8JpWFfBBB7OvsEQspgFX2tgto=/1440x0/smart/arc-anglerfish-washpost-prod-washpost.s3.amazonaws.com/public/QCYTQ5JSAFAUXDVN2BZCV7UTGI.gif"
"","Good morning,\\n\\nThese are the top stories:\\n\\nCoastal GasLink estimates $115-million in payments to elected Wetsuweten band councils\\n\\nStory continues below advertisement\\n\\nThe company projected that its B.C. pipeline project would pump $115-million during a 25-ye… [+8384 chars]","Morning Update: Coastal GasLink estimates $115-million in payments to elected Wet’suwet’en band councils The Globe and Mail Three-week Quebec rail blockade voluntarily dismantled, protesters move camp away from train tracks National Post As Quebec rail blocka…","2020-03-06T11:52:25Z","the-globe-and-mail","The Globe And Mail","Morning Update: Coastal GasLink estimates $115-million in payments to elected Wet’suwet’en band councils - The Globe and Mail","https://www.theglobeandmail.com/canada/article-morning-update-coastal-gaslink-estimates-115-million-in-payments-to/","https://www.theglobeandmail.com/resizer/jg-2SyXuCPHZgUU_ZQYZ8IBOnDQ=/1200x0/filters:quality(80)/arc-anglerfish-tgam-prod-tgam.s3.amazonaws.com/public/TMORCC6H7VHZBO6JBJPQMQ3RQY.JPG"
"Heather Alexandra","2016s Doom reimagined the classic shooter into a frantic but modern mold. The bloody escapades of the Doom Slayer were rife with bullets and guts. It was a grimy video game hamburger. Doom Eternal is bigger and bloodier, almost to the point of excess. Its the… [+19358 chars]","2016’s Doom reimagined the classic shooter into a frantic but modern mold. The bloody escapades of the Doom Slayer were rife with bullets and guts. It was a grimy video game hamburger. Doom Eternal is bigger and bloodier, almost to the point of excess. It’s t…","2020-03-24T15:30:00Z","","Kotaku.com","Doom Eternal: The Kotaku Review","https://kotaku.com/doom-eternal-the-kotaku-review-1842471145","https://i.kinja-img.com/gawker-media/image/upload/c_fill,f_auto,fl_progressive,g_center,h_675,pg_1,q_80,w_1200/izxcva4tobordgfsbarc.jpg"
"Mark Frauenfelder","(I originally reviewed this in 2008, but thought it was worth reposting, for obvious reasons. -- MF) In World Made By Hand (2008) by James Howard Kunstler, the population of the United States (and most likely, the world) has been decimated by an energy shorta… [+2925 chars]","(I originally reviewed this in 2008, but thought it was worth reposting, for obvious reasons. -- MF) In World Made By Hand (2008) by James Howard Kunstler, the population of the United States (and most likely, the world) has been decimated by an energy shorta…","2020-03-23T21:33:45Z","","Boingboing.net","World Made By Hand is a post-pandemic world novel","https://boingboing.net/2020/03/23/world-made-by-hand-b.html","https://i2.wp.com/media.boingboing.net/wp-content/uploads/2020/03/Untitled-1-2.jpg?fit=680%2C486&ssl=1"
"Kyle Wiggers","FairShake (formerly Radvocate) is a startup that taps automation and human review to expedite settling consumer disputes with companies. It helps deliver legal notices to companies and, if necessary, bring the claims to consumer arbitration. And three years a… [+2985 chars]","FairShake, a startup developing a platform that automates consumer dispute filings, has raised $3 million as it prepares to relaunch and rebrand.","2020-03-03T15:00:26Z","","Venturebeat.com","FairShake raises $3 million to automate consumer dispute filings","https://venturebeat.com/2020/03/03/fairshake-raises-3-million-to-automate-consumer-dispute-filings/","https://venturebeat.com/wp-content/uploads/2020/02/0-1-e1582309980464.jpeg?w=1200&strip=all"
"Evan Meagher","Over the past five years, Ive worked at two startups in what is now being called the climate tech sector (See #1). Given the recent surge in interest in this space, I thought it would be worthwhile to record a handful of lessons that Ive learned from this exp… [+10487 chars]","Over the past five years, I’ve worked at two startups in what is now being called the climate tech sector (See #1). Given the recent surge in interest in this space, I thought it would be worthwhile to record a handful of lessons that I’ve learned from this e…","2020-03-20T13:14:44Z","the-next-web","The Next Web","6 things I learned from working in climate tech startups","https://thenextweb.com/?p=1279852","https://img-cdn.tnwcdn.com/image/tnw?filter_last=1&fit=1280%2C640&url=https%3A%2F%2Fcdn0.tnwcdn.com%2Fwp-content%2Fblogs.dir%2F1%2Ffiles%2F2020%2F03%2Fclimate-tech.png&signature=5cdf66349f1cf19270de17da05830166"
"Adele Peters","An important thing to realize for anyone thinking about the climate crisis is that things are not hopeless. In fact, the solutions the world needs to tackle climate change already exist. A new report from the nonprofit Project Drawdown analyzed the potential … [+5782 chars]","Onshore wind power, utility-scale solar power, reduced food waste: These are just the first three of Project Drawdown’s plan to end the climate crisis with existing technologies. An important thing to realize for anyone thinking about the climate crisis is th…","2020-03-03T00:01:15Z","","Fastcompany.com","These are the 76 climate solutions we need to scale up right now to have a chance","https://www.fastcompany.com/90470151/these-are-the-76-climate-solutions-we-need-to-scale-up-right-now-to-have-a-chance?partner=feedburner&utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+fastcompany%2Fheadlines+%28Fast+Company%29","https://images.fastcompany.net/image/upload/w_1280,f_auto,q_auto,fl_lossy/wp-cms/uploads/2020/02/p-1-90470151-these-are-the-76-climate-solutions-we-need-to-scale-up.jpg"
"Ainsley Harris","From a distance, the Lenten display in the chancel of St. John United Lutheran Church in Seattle looks similar to displays installed by churches around the world in the weeks leading up to Easter Sunday. Sunlight streams through stained glass windows. A gothi… [+10624 chars]","The biblical mandate of “creation care” is taking on new urgency as the planet warms. From a distance, the Lenten display in the chancel of St. John United Lutheran Church in Seattle looks similar to displays installed by churches around the world in the week…","2020-03-23T06:00:22Z","","Fastcompany.com","Meet the Christians giving up carbon for Lent","https://www.fastcompany.com/90468537/meet-the-christians-giving-up-carbon-for-lent","https://images.fastcompany.net/image/upload/w_1280,f_auto,q_auto,fl_lossy/wp-cms/uploads/2020/03/p-1-90468537-meet-the-christians-giving-up-carbon-and-single-use-plastic-for-lent.jpg"
"Kristin Toussaint","With the demand for flights drastically down amid the coronavirus outbreak, the airline industry is reeling. Avoiding air travel is top of mind for most of the public, and that means revenue losses—of up to $113 billion, according to the International Air Tra… [+5566 chars]","Even without ghost flights—empty planes that help an airline hold onto flight slots—the coronavirus highlights the environmental impact of the aviation industry. With the demand for flights drastically down amid the coronavirus outbreak, the airline industry …","2020-03-11T16:00:25Z","","Fastcompany.com","Airlines will stop coronavirus ‘ghost flights’—now we need to rethink the future of flying","https://www.fastcompany.com/90476154/airlines-will-stop-coronavirus-ghost-flights-now-we-need-to-rethink-the-future-of-flying?partner=feedburner&utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+fastcompany%2Fheadlines+%28Fast+Company%29","https://images.fastcompany.net/image/upload/w_1280,f_auto,q_auto,fl_lossy/wp-cms/uploads/2020/03/p-1-90476154-airlines-will-stop-coronavirus-and8216ghost-flightsand8217now-we-need-to-rethink-the-future-of-flying.jpg"
"Chris Impey","Science gets a lot of respect these days. Unfortunately, it’s also getting a lot of competition from misinformation. Seven in 10 Americans think the benefits from science outweigh the harms, and nine in 10 think science and technology will create more opportu… [+6276 chars]","Many Americans have holes in their understanding of basic science—making them particularly susceptible to misinformation. Science gets a lot of respect these days. Unfortunately, it’s also getting a lot of competition from misinformation. Seven in 10 American…","2020-03-14T09:00:03Z","","Fastcompany.com","Why people are so easily fooled by conspiracy theories they read online","https://www.fastcompany.com/90474525/why-people-are-so-easily-fooled-by-conspiracy-theories-they-read-online","https://images.fastcompany.net/image/upload/w_1280,f_auto,q_auto,fl_lossy/wp-cms/uploads/2020/03/p-1-tabloids-fake-science.jpg"
"Marcus Baram","The recovery from the financial crisis was reportedly in full swing, with unemployment on the decline and the economy seemingly on the mend. The advance of digital culture was hurtling forward, shortening attention spans and leading print book sales to plumme… [+14711 chars]","The French economist, whose first “Capital” book in 2014 became a surprise bestseller with its deep analysis of income inequality over the centuries, is back—and this time offering solutions to the complex problem in his new book, “Capital and Ideology.” The …","2020-03-14T13:48:59Z","","Fastcompany.com","Thomas Piketty explains why the world is ripe for ‘participatory socialism’","https://www.fastcompany.com/90476804/thomas-piketty-explains-why-the-world-is-ripe-for-participatory-socialism","https://images.fastcompany.net/image/upload/w_1280,f_auto,q_auto,fl_lossy/wp-cms/uploads/2020/03/p-1-90476804-thomas-piketty-explains-why-the-world-is-ripe-for-and8216participatory-socialismand8217.png"
"By Jennifer Hiller and Ron Bousso","By Jennifer Hiller and Ron Bousso\\n\\nNEW YORK/LONDON (Reuters) - Exxon and Chevron boasted to investors this week about booming U.S. oil production, illustrating how the gap has widened - at least in words - between top American oil and gas companies and their … [+4217 chars]","NEW YORK/LONDON (Reuters) - Exxon and Chevron boasted to investors this week about booming U.S. oil production, illustrating how the gap has widened - at least in words - between top American oil and gas companies and their European rivals over efforts to tra…","2020-03-05T18:25:02Z","","Yahoo.com","U.S. oil boom vs Europe's renewables focus? Big Oil's gap widens -- in words","https://news.yahoo.com/u-oil-boom-vs-europes-182502023.html","https://s.yimg.com/ny/api/res/1.2/4iJS9agY4HPI0DKT8VALFg--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyODA7aD04NTIuOA--/https://s.yimg.com/uu/api/res/1.2/HOfpWQRv4oHDSAat.pB1DQ--~B/aD01MzM7dz04MDA7c209MTthcHBpZD15dGFjaHlvbg--/https://media.zenfs.com/en-US/reuters.com/f8b315031088f2460a78323ca18f9125"
"FRANK JORDANS / AP","(BERLIN) — Scientists say that half of the world’s sandy beaches could disappear by the end of the century if climate change continues unchecked.\\n\\nResearchers at the European Union’s Joint Research Center in Ispra, Italy, used satellite images to track the wa… [+3233 chars]","Scientists say that half of the world's sandy beaches could disappear by the end of the century if climate change continues unchecked.","2020-03-02T18:02:13Z","time","Time","Rising Sea Levels, Coastal Erosion: New Report Says Half the World’s Sandy Beaches at Risk From Climate Change By 2100","https://time.com/5793668/sandy-beaches-climate-change/","https://api.time.com/wp-content/uploads/2020/03/climate-change-sand-beach.jpg?quality=85&w=1200&h=628&crop=1"
"Justin Worland","The rise of Bernie Sanders as the Democratic Party’s presidential frontrunner has shaken up politicians and pundits surprised that an avowedly left-wing candidate is beating more traditional rivals. These political insiders have speculated about a wide range … [+4754 chars]","The rise of Bernie Sanders as the Democratic Party’s presidential frontrunner has shaken up politicians and pundits surprised that an avowedly left-wing candidate is beating more traditional rivals. These political insiders have speculated about a wide range …","2020-03-02T17:10:01Z","time","Time","How Climate Change Helped Fuel Bernie Sanders’s Rise to the Top of the Polls","https://time.com/5793592/bernie-sanders-climate-change-polls/","https://api.time.com/wp-content/uploads/2020/02/bernie-sanders-aoc-climate-change.jpg?quality=85&w=1024&h=628&crop=1"
"Ian Bremmer","For a war that’s supposedly been won, Syria continues to bleed refugees at an alarming rate. Idlib, a city in the country’s northwest, is the final rebel holdout that keeps Bashar al-Assad—and his Russian backers—from complete victory in his country’s nine-ye… [+7277 chars]","For a war that’s supposedly been won, Syria continues to bleed refugees at an alarming rate. Idlib, a city in the country’s northwest, is the final rebel holdout that keeps Bashar al-Assad—and his Russian backers—from complete victory in his country’s nine-ye…","2020-03-08T21:02:09Z","time","Time","What Happens Next with Europe’s Latest Refugee Crisis","https://time.com/5798139/what-happens-next-with-europes-latest-refugee-crisis/","https://api.time.com/wp-content/uploads/2020/03/turkey-syria-border-conflict.jpg?quality=85&w=1024&h=628&crop=1"
"Thom Dunn","In an interview with Ellen Degeneres, NBA player Dwyane Wade discussed how he and his wife support and empower their teenaged child Zaya. [YouTube]\\n\\nMore than 40 years ago, Eric McMillan, a renowned designer of children’s play areas, and his team created the … [+1548 chars]","At least some things in the world are still adorable. From RTÉ : The Kelly's have four boys who are just one day shy of their fifth birthday. Now they have been gifted an early birthday present of quad lambs. Quadruplet brothers in Co Offaly have met recent a…","2020-02-28T12:40:14Z","","Boingboing.net","Quadruplet human kids get quadruplet lamb kids for their birthday","https://boingboing.net/2020/02/28/quadruplet-human-kids-get-quad.html","https://i2.wp.com/media.boingboing.net/wp-content/uploads/2020/02/nature-grass-meadow-view-animal-cute-1242531-pxhere.com_.jpg?fit=1200%2C829&ssl=1"
"David Pescovitz","The principal of Lafayette Elementary School in Washington DC has apologized after a fifth grade lesson on the Civil War and Reconstruction had some children of color role-playing “a person of color drinking from a segregated water fountain and an enslaved pe… [+1878 chars]","Yale psychology professor Laurie Santos's course “Psychology and the Good Life"" is the most popular class in the history of the university. Now it's available for anyone to take for free remotely through Coursera. The public online version of the class is cal…","2020-03-24T18:41:34Z","","Boingboing.net","Yale University's hugely popular ""Science of Well Being"" happiness class is now free online","https://boingboing.net/2020/03/24/yale-universitys-hugely-popu.html","https://i2.wp.com/media.boingboing.net/wp-content/uploads/2020/03/Mr-400x400-1.jpg?fit=400%2C400&ssl=1"
"Ed Mazza","President Donald Trump announced on Wednesday that Vice President Mike Pence would lead the White House task force on COVID-19, the deadly new coronavirus infection spreading around the world. But critics are pointing out that Pence’s track record on health a… [+382 chars]","The vice president has no medical experience -- and that's not the only problem.","2020-02-27T07:26:44Z","","Huffpost.com","Trump Ripped For Putting ‘Science-Denier’ Pence In Charge Of Coronavirus","https://www.huffpost.com/entry/trump-pence-coronavirus_n_5e574261c5b66622ed768d31","https://img.huffingtonpost.com/asset/5e575b50230000250c0bf3ce.jpeg?cache=hZmxqAcBG5&ops=1200_630"
"Mary Papenfuss","Sen. Ted Cruz (R-Texas) tried to denigrate Democratic Rep. Alexandria Ocasio-Cortez’s scientific knowledge Friday after she slammed President Donald Trump for putting Vice President Mike Pence in charge of protecting the nation from the new coronavirus. The N… [+1366 chars]","Rep. Alexandria Ocasio-Cortez and the Texas senator go at it over Mike Pence's selection as leader of battle against the spreading coronavirus.","2020-02-29T02:53:30Z","","Huffpost.com","Ted Cruz Mocks AOC’s Science Chops; She Reminds Him He Doesn’t Believe In Evolution","https://www.huffpost.com/entry/alexandria-ocasio-cortez-ted-cruz-mike-pence-evoution-coronavirus_n_5e59b67ac5b601022110d0d3","https://img.huffingtonpost.com/asset/5e59ba942300005d0d0bf5e8.jpeg?cache=Zj0PWhZgzX&ops=1200_630"
"Emily Peck","It shouldn’t take a global epidemic to make people realize that paid sick leave is a critical economic policy, but here we are.  \\n\\nAs coronavirus sweeps through the country, the fact that the U.S. is one of only a few developed countries that does not guarant… [+5600 chars]","Too bad it took the massive coronavirus outbreak to get (almost) everyone on board.","2020-03-11T15:34:47Z","","Huffpost.com","Finally, Everyone Understands Why Paid Sick Leave Is Necessary","https://www.huffpost.com/entry/paid-sick-leave-coronavirus-covid-19_n_5e68f415c5b6670e730215e9","https://img.huffingtonpost.com/asset/5e68f596230000c21a0c0f02.jpeg?ops=1200_630"
"Hobbins, M., Barsugli, J.","","As the beating heart of the American Southwest, the Colorado River (CR) serves ∼40 million people from Denver to Los Angeles and supports 16 million jobs in a $1.4 trillion regional economy ([ 1 ][1]). Most of the river's streamflow originates as snowpack in …","2020-03-12T17:40:40Z","","Sciencemag.org","Threatening the vigor of the Colorado River","https://science.sciencemag.org/content/367/6483/1192.full","https://science.sciencemag.org/content/367/6483/F1.medium.gif"
"USA TODAY, Doyle Rice, USA TODAY","Story Highlights\\n\\n<ul><li>If the current melting trend continues, the regions will be on track to match the ""worst-case"" scenario.</li><li>All total, Greenland and Antarctica have lost 6.4 trillion tons of ice since the 1990s.</li><li>""Every centimeter of sea… [+2707 chars]","Greenland and Antarctica have lost 6.4 trillion tons of ice in the past three decades, accelerating sea-level rise around the world.","2020-03-16T19:23:10Z","usa-today","USA Today","Greenland and Antarctica are now melting six times faster than in the 1990s, accelerating sea-level rise","https://www.usatoday.com/story/news/world/2020/03/16/climate-change-greenland-antarctica-melting-6-times-faster-than-90-s/5060236002/","https://www.gannett-cdn.com/presto/2020/03/16/USAT/f5ad756b-c836-42d0-a6cc-cce346f99b04-greenland20200316-16.jpg?crop=1394,785,x0,y0&width=1600&height=800&fit=bounds"
"Chris Ciaccia","Almost half of the world's sandy beaches could be gone by 2100 if climate change continues as is, according to a new study published on Monday.\\n\\nThe research, published in the scientific journal Nature Climate Change, forecasts that coastlines, which are dens… [+4108 chars]","Almost half of the world's sandy beaches could be gone by 2100 if climate change continues as is, according to a new study published on Monday.","2020-03-02T17:49:42Z","fox-news","Fox News","Half of world’s beaches will disappear by 2100 because of climate change, experts say","https://www.foxnews.com/science/half-worlds-beaches-disappear-by-2100-climate-change","https://static.foxnews.com/foxnews.com/content/uploads/2020/03/climate-change-beach-3.jpg"
"Julia Musto","The world's tropical forests are losing their capacity to absorb carbon dioxide, according to a new environmental study, raising alarms about the prospect of accelerating climate breakdown.\\n\\nThe study, which was published Wednesday in the scientific journal N… [+4285 chars]","A new study is reporting that the world's tropical forests are losing their capacity to absorb carbon dioxide (C02), raising alarms about the prospect of accelerating increasing climate breakdown.","2020-03-07T13:56:23Z","fox-news","Fox News","Tropical forests losing their ability to absorb carbon: study","https://www.foxnews.com/science/tropical-forests-losing-ability-absorb-carbon","https://static.foxnews.com/foxnews.com/content/uploads/2019/08/AP19235667684088.jpg"
"","In the Review What would it take for renewably powered electrosynthesis to displace petrochemical processes?, a stoichiometry error led to incorrect values for CO2 emitted per kilogram of product for ethylene and ethanol. The correct values are now used: 1.57… [+2951 chars]","In the Review “[What would it take for renewably powered electrosynthesis to displace petrochemical processes?][1],” a stoichiometry error led to incorrect values for CO2 emitted per kilogram of product for ethylene and ethanol. The correct values are now use…","2020-03-05T18:39:33Z","","Sciencemag.org","Erratum for the Review: ""What would it take for renewably powered electrosynthesis to displace petrochemical processes?"" by P. De Luna, C. Hahn, D. Higgins, S. A. Jaffer, T. F. Jaramillo, E. H. Sargent","https://science.sciencemag.org/content/367/6482/eabb0992.full","https://science.sciencemag.org/sites/default/files/highwire/sci/367/6482.cover-source.gif"
"Masanet, E., Shehabi, A., Lei, N., Smith, S., Koomey, J.","","Data centers represent the information backbone of an increasingly digitalized world. Demand for their services has been rising rapidly ([ 1 ][1]), and data-intensive technologies such as artificial intelligence, smart and connected energy systems, distribute…","2020-02-27T18:39:43Z","","Sciencemag.org","Recalibrating global data center energy-use estimates","https://science.sciencemag.org/content/367/6481/984.full","https://science.sciencemag.org/content/367/6481/F1.medium.gif"
"Grundy, W. M., Bird, M. K., Britt, D. T., Cook, J. C., Cruikshank, D. P., Howett, C. J. A., Krijt, S., Linscott, I. R., Olkin, C. B., Parker, A. H., Protopapa, S., Ruaud, M., Umurhan, O. M., Young, L. A., Dalle Ore, C. M., Kavelaars, J. J., Keane, J. T., Pendleton, Y. J., Porter, S. B., Scipioni, F., Spencer, J. R., Stern, S. A., Verbiscer, A. J., Weaver, H. A., Binzel, R. P., Buie, M. W., Buratti, B. J., Cheng, A., Earle, A. M., Elliott, H. A., Gabasova, L., Gladstone, G. R., Hill, M. E., Horanyi, M., Jennings, D. E., Lunsford, A. W., McComas, D. J., McKinnon, W. B., McNutt, R. L., Moore, J. M., Parker, J. W., Quirico, E., Reuter, D. C., Schenk, P. M., Schmitt, B., Showalter, M. R., Singer, K. N., Weigle, G. E., Zangari, A. M.","Structured Abstract\\n\\nAbstract\\n\\nThe outer Solar System object (486958) Arrokoth (provisional designation 2014 MU69) has been largely undisturbed since its formation. We studied its surface composition using data collected by the New Horizons spacecraft. Methan… [+46261 chars]","The New Horizons spacecraft flew past the Kuiper Belt object (486958) Arrokoth (also known as 2014 MU69) in January 2019. Because of the great distance to the outer Solar System and limited bandwidth, it will take until late 2020 to downlink all the spacecraf…","2020-02-27T18:39:44Z","","Sciencemag.org","Color, composition, and thermal environment of Kuiper Belt object (486958) Arrokoth","https://science.sciencemag.org/content/367/6481/eaay3705.full","https://science.sciencemag.org/content/367/6481/F1.medium.gif"
"Beth Elderkin","Game designer Elizabeth Hargrave helped jumpstart a tabletop revolution with Wingspan, an environmental board game about creating habitats for birds. Her upcoming release, Mariposas, has players guiding monarch butterflies on their migration. But theres somet… [+10927 chars]","Game designer Elizabeth Hargrave helped jumpstart a tabletop revolution with Wingspan, an environmental board game about creating habitats for birds. Her upcoming release, Mariposas, has players guiding monarch butterflies on their migration. But there’s some…","2020-02-26T21:00:00Z","","Gizmodo.com","Why It's Hard, But Not Impossible, to Make a Board Game About Climate Change","https://io9.gizmodo.com/why-its-hard-but-not-impossible-to-make-a-board-game-1841703774","https://i.kinja-img.com/gawker-media/image/upload/c_fill,f_auto,fl_progressive,g_center,h_675,pg_1,q_80,w_1200/ttackkaengtmzyv3xcrf.png"
"https://www.facebook.com/bbcnews","Image copyrightReutersImage caption\\n\\n Researchers say climate change is behind the longer summers\\n\\nAustralia's summers have become twice as long as its winters amid increasing temperatures driven by climate change, according to new weather data analysis.\\n\\nThe… [+2208 chars]","New weather data analysis says climate change has led to major increases in summer temperatures.","2020-03-01T20:23:56Z","bbc-news","BBC News","Climate change: Australian summers 'twice as long as winters'","https://www.bbc.co.uk/news/world-australia-51697803","https://ichef.bbci.co.uk/news/1024/branded_news/24A3/production/_111097390_c586d1d5-bfb5-41bb-957e-1895844e6bb8.jpg"
"Contributors to Wikimedia projects","A global catastrophic risk is a hypothetical future event which could damage human well-being on a global scale,[2] even endangering or destroying modern civilization.[3] An event that could cause human extinction or permanently and drastically curtail humani… [+78416 chars]","Comments","2020-03-25T00:14:14Z","","Wikipedia.org","Global Catastrophic Risk","https://en.wikipedia.org/wiki/Global_catastrophic_risk","https://upload.wikimedia.org/wikipedia/commons/c/cb/Impact_event.jpg"
"","New York / Geneva, 10 March 2020 - The tell-tale physical signs of climate change such as increasing land and ocean heat, accelerating sea level rise and melting ice are highlighted in a new report compiled by the World Meteorological Organization and an exte… [+16474 chars]","The tell-tale physical signs of climate change such as increasing land and ocean heat, accelerating sea level rise and melting ice are highlighted in a new report compiled by the World Meteorological Organization and an extensive network of partners. It docum…","2020-03-12T18:58:01Z","","Wmo.int","Planet is 'way off track' in dealing with climate change, U.N. report says","https://public.wmo.int/en/media/press-release/multi-agency-report-highlights-increasing-signs-and-impacts-of-climate-change",""
"Miguel Trancozo Trevino","As the guardians of the wells and suppliers of the water, it also gave the women in the community a certain degree of status and autonomy, but at the same time, with the situation of global warming and climate change, the amount of water available for the com… [+1641 chars]","In chronically dry regions around the world, communities are finding ways to live from the water suspended in the air – creating valuable drinking water from mist.","2020-03-01T09:25:44Z","","Bbc.com","The ethereal art of fog-catching","https://www.bbc.com/future/article/20200221-how-fog-can-solve-water-shortage-from-climate-change-in-peru","https://ichef.bbci.co.uk/wwfeatures/live/624_351/images/live/p0/84/7p/p0847pq9.jpg"
"Contributors to Wikimedia projects","Freeman John DysonFRS (15 December 1923 28 February 2020) was an American theoretical physicist and mathematician, of British origin, known for his work in quantum electrodynamics, solid-state physics, astronomy and nuclear engineering.[7][8] He is professor … [+50317 chars]","Comments","2020-02-28T17:25:08Z","","Wikipedia.org","Freeman Dyson Has Died","https://en.wikipedia.org/wiki/Freeman_Dyson","https://upload.wikimedia.org/wikipedia/commons/0/03/Freeman_Dyson_%282005%29.jpg"
